name,class,gender,dateOfBirth,address,parentName,parentPhone,parentEmail
Nnamdi Adeoti,JSS 3 Gold,F,2007-09-14,"59 Hospital Rd, Benin City, Edo",Mr/Mrs Adeoti,+2348051446698,nnamdi.1@gmail.com
Adaeze Kazeem,JSS 3 Gold,F,2013-03-07,"32 Murtala Muhammed Way, Uyo, Akwa Ibom",Mr/Mrs Kazeem,+2348034210031,adaeze.2@gmail.com
Adaeze Ekwueme,JSS 3 Gold,F,2011-02-28,"110 New Owerri Rd, Ilorin, Kwara",Mr/Mrs Ekwueme,+2348064744635,adaeze.3@gmail.com
Wale Umeh,JSS 3 Gold,M,2014-09-26,"8 Hospital Rd, Surulere, Lagos",Mr/Mrs Umeh,+2348035586329,wale.4@gmail.com
Funmilayo Adeniyi,JSS 3 Gold,F,2007-01-13,"44 Adeniran Ogunsanya St, Abeokuta, Ogun",Mr/Mrs Adeniyi,+2348054633365,funmilayo.5@gmail.com
Hassan Onwuegbuchulam,JSS 3 Gold,M,2007-07-27,"58 Broad Street, Uyo, Akwa Ibom",Mr/Mrs Onwuegbuchulam,+2348085830640,hassan.6@gmail.com
Ifeoma Danjuma,JSS 3 Gold,M,2012-06-02,"25 New Owerri Rd, Abeokuta, Ogun",Mr/Mrs Danjuma,+2348068834159,ifeoma.7@gmail.com
Tobi Ugwu,JSS 3 Gold,M,2011-09-26,"15 Murtala Muhammed Way, Surulere, Lagos",Mr/Mrs Ugwu,+2348051871822,tobi.8@gmail.com
Blessing Abdullahi,JSS 3 Gold,M,2008-11-01,"2 Okpara St, Port Harcourt, Rivers",Mr/Mrs Abdullahi,+2348012079741,blessing.9@gmail.com
Hassan Sowunmi,JSS 3 Gold,M,2014-10-18,"104 New Owerri Rd, Surulere, Lagos",Mr/Mrs Sowunmi,+2348033720552,hassan.10@gmail.com
Rukayat Osagie,JSS 3 Gold,M,2014-04-16,"3 New Owerri Rd, Uyo, Akwa Ibom",Mr/Mrs Osagie,+2348081838846,rukayat.11@gmail.com
Yemi Eze,JSS 3 Gold,M,2014-10-26,"74 Abak Rd, Enugu, Enugu",Mr/Mrs Eze,+2348018694257,yemi.12@gmail.com
Ifeoma Durojaiye,JSS 3 Gold,M,2010-04-12,"68 Okpara St, Abeokuta, Ogun",Mr/Mrs Durojaiye,+2348061894990,ifeoma.13@gmail.com
Rotimi Adeoti,JSS 3 Gold,F,2013-11-07,"110 Agodi Rd, Enugu, Enugu",Mr/Mrs Adeoti,+2348018285377,rotimi.14@gmail.com
Bola Ogunleye,JSS 3 Gold,M,2010-03-19,"46 Broad Street, Owerri, Imo",Mr/Mrs Ogunleye,+2348071829684,bola.15@gmail.com
Seyi Lawal,JSS 3 Gold,F,2007-05-03,"68 Abak Rd, Surulere, Lagos",Mr/Mrs Lawal,+2348056655163,seyi.16@gmail.com
Hassan Nwachukwu,JSS 3 Gold,F,2010-04-18,"36 Hospital Rd, Ilorin, Kwara",Mr/Mrs Nwachukwu,+2348020495280,hassan.17@gmail.com
Simisola Oyelaran,JSS 3 Gold,M,2010-04-23,"118 Agodi Rd, Ilorin, Kwara",Mr/Mrs Oyelaran,+2348046456678,simisola.18@gmail.com
Yetunde Ojo,JSS 3 Gold,F,2012-09-23,"13 Adeniran Ogunsanya St, Abeokuta, Ogun",Mr/Mrs Ojo,+2348070063489,yetunde.19@gmail.com
Obinna Fashola,JSS 3 Gold,M,2008-11-01,"86 Murtala Muhammed Way, Surulere, Lagos",Mr/Mrs Fashola,+2348014999517,obinna.20@gmail.com
Esther Abdullahi,JSS 3 Gold,F,2013-11-05,"55 Murtala Muhammed Way, Benin City, Edo",Mr/Mrs Abdullahi,+2348039163116,esther.21@gmail.com
David Eze,JSS 3 Gold,F,2008-09-26,"70 Murtala Muhammed Way, Surulere, Lagos",Mr/Mrs Eze,+2348055208573,david.22@gmail.com
Taiwo Oladipo,JSS 3 Gold,M,2011-05-12,"3 Ambrose Alli Rd, Ikeja, Lagos",Mr/Mrs Oladipo,+2348090174410,taiwo.23@gmail.com
Seyi Fashola,JSS 3 Gold,M,2010-10-14,"95 Ikorodu Rd, Surulere, Lagos",Mr/Mrs Fashola,+2348089143872,seyi.24@gmail.com
Farouk Onwuegbuchulam,JSS 3 Gold,F,2014-09-23,"26 Hospital Rd, Abuja, FCT",Mr/Mrs Onwuegbuchulam,+2348019090543,farouk.25@gmail.com
Tunde Umeh,JSS 3 Gold,M,2014-06-12,"1 Broad Street, Benin City, Edo",Mr/Mrs Umeh,+2348071120585,tunde.26@gmail.com
Abiola Balogun,JSS 3 Gold,M,2009-10-14,"110 Okpara St, Ilorin, Kwara",Mr/Mrs Balogun,+2348098922929,abiola.27@gmail.com
